Id,Weekly_Sales
1_1_2012-11-02,33363.64480000004
15_74_2012-11-02,12132.217800000006
15_72_2012-11-02,39846.392699999975
15_71_2012-11-02,4183.935199999998
15_67_2012-11-02,5027.923600000004
15_60_2012-11-02,186.34659999999997
15_59_2012-11-02,232.523
15_56_2012-11-02,618.6884999999992
15_55_2012-11-02,6949.69460000001
15_52_2012-11-02,1478.4581999999998
15_50_2012-11-02,2561.055
15_79_2012-11-02,8043.415999999997
15_49_2012-11-02,9873.10280000001
15_44_2012-11-02,3810.8622999999952
15_42_2012-11-02,4088.804900000001
15_41_2012-11-02,2157.4860000000003
15_40_2012-11-02,29523.81609999998
15_38_2012-11-02,49721.587600000006
15_36_2012-11-02,1501.6371000000006
15_35_2012-11-02,2461.7968999999994
15_34_2012-11-02,11118.057199999988
15_33_2012-11-02,4263.902199999999
15_32_2012-11-02,4720.848100000004
15_46_2012-11-02,10666.697399999997
15_80_2012-11-02,43.220000000000006
15_81_2012-11-02,4245.1981000000005
15_82_2012-11-02,9634.381499999994
3_12_2012-11-02,2665.6002000000008
3_11_2012-11-02,8531.308299999999
3_10_2012-11-02,13296.6037
3_9_2012-11-02,13271.5651
3_8_2012-11-02,8501.074599999998
3_7_2012-11-02,9032.8012
3_6_2012-11-02,2063.6989000000017
3_5_2012-11-02,15202.253899999996
3_4_2012-11-02,9218.366500000006
3_3_2012-11-02,5833.461199999994
3_2_2012-11-02,18670.84939999999
3_1_2012-11-02,10340.603199999998
15_98_2012-11-02,356.9186000000001
15_97_2012-11-02,1556.2461999999996
15_96_2012-11-02,2582.938200000003
15_95_2012-11-02,24804.971800000007
15_93_2012-11-02,380.9386
15_92_2012-11-02,20940.322500000013
15_91_2012-11-02,3398.8425999999977
15_90_2012-11-02,5509.468799999998
15_87_2012-11-02,9684.459199999996
15_85_2012-11-02,2403.7698000000005
15_83_2012-11-02,234.3798000000001
15_31_2012-11-02,2319.592200000001
3_13_2012-11-02,12496.0672
15_30_2012-11-02,2406.1169999999984
15_28_2012-11-02,983.4013000000014
23_35_2012-11-02,4836.198799999998
23_36_2012-11-02,3509.29
23_38_2012-11-02,43877.398
23_40_2012-11-02,63262.13589999997
23_41_2012-11-02,1465.2525999999998
23_42_2012-11-02,13123.57659999999
23_44_2012-11-02,7890.4044
23_46_2012-11-02,33612.16749999999
23_49_2012-11-02,28261.877500000024
23_50_2012-11-02,6691.18
23_34_2012-11-02,24813.188800000007
23_52_2012-11-02,2648.0851000000002
23_55_2012-11-02,16098.588399999986
23_56_2012-11-02,1340.8220999999996
23_58_2012-11-02,3345.1
23_59_2012-11-02,607.8532999999998
23_60_2012-11-02,191.70439999999996
23_67_2012-11-02,13250.403599999996
23_71_2012-11-02,11869.492799999996
23_72_2012-11-02,74493.90970000003
23_74_2012-11-02,37293.61570000001
23_79_2012-11-02,29685.96920000002
23_54_2012-11-02,54.80440000000005
15_1_2012-11-02,22901.6622
15_2_2012-11-02,23778.225600000005
15_3_2012-11-02,7223.822500000004
15_27_2012-11-02,1741.4933000000012
15_26_2012-11-02,5441.145099999995
15_25_2012-11-02,8247.0386
15_24_2012-11-02,4940.042899999999
15_23_2012-11-02,20122.861500000017
15_22_2012-11-02,7683.919400000005
15_21_2012-11-02,2956.969
15_20_2012-11-02,4085.5233999999987
15_19_2012-11-02,1031.0669
15_18_2012-11-02,10004.664399999998
15_17_2012-11-02,11811.481999999996
15_16_2012-11-02,2908.311999999999
15_14_2012-11-02,10466.388399999998
15_13_2012-11-02,17586.063800000018
